Text,Address,Street_Number,Street_Name,Street_Address,City,B-Zipcode,I-Zipcode,Zipcode,State,Country
"Building 6, 28 Park Lane, B3 2RJ","28 Park Lane, B3 2RJ","28","Park Lane","Park Lane","","B3","2RJ","B3 2RJ","",""
"Apartment 7, 14 Maple Street, WC1H 9EH","14 Maple Street, WC1H 9EH","14","Maple Street","Maple Street","","WC1H","9EH","WC1H 9EH","",""
"Studio 8, 33B High Street, BA1 5AN","33B High Street, BA1 5AN","33B","High Street","High Street","","BA1","5AN","BA1 5AN","",""
"Flat 2B 123 High Street London SE1 1AB","Flat 2B 123 High Street London SE1 1AB","123","High Street","Flat 2B 123 High Street","London","SE1","1AB","SE1 1AB","",""
"The Old Bakery 56 Market Place Manchester M1 1AE","The Old Bakery 56 Market Place Manchester M1 1AE","56","Market Place","The Old Bakery 56 Market Place","Manchester","M1","1AE","M1 1AE","",""
"45A Elmwood Avenue Belfast BT9 7EW","45A Elmwood Avenue Belfast BT9 7EW","45A","Elmwood Avenue","45A Elmwood Avenue","Belfast","BT9","7EW","BT9 7EW","",""
"Unit 3 The Business Centre 89 West Street Brighton BN1 2RH","Unit 3 The Business Centre 89 West Street Brighton BN1 2RH","89","West Street","Unit 3 The Business Centre 89 West Street","Brighton","BN1","2RH","BN1 2RH","",""
"10 Downing Street London SW1A 2AA","10 Downing Street London SW1A 2AA","10","Downing Street","10 Downing Street","London","SW1A","2AA","SW1A 2AA","",""
"Suite 5B 78 Oxford Road Reading RG1 7LB","Suite 5B 78 Oxford Road Reading RG1 7LB","78","Oxford Road","Suite 5B 78 Oxford Road","Reading","RG1","7LB","RG1 7LB","",""
"20 Kingsway Cardiff CF10 3FD","20 Kingsway Cardiff CF10 3FD","20","Kingsway","20 Kingsway","Cardiff","CF10","3FD","CF10 3FD","",""
"House 7 14 Victoria Square Birmingham B1 1BD","House 7 14 Victoria Square Birmingham B1 1BD","14","Victoria Square","House 7 14 Victoria Square","Birmingham","B1","1BD","B1 1BD","",""
"3rd Floor 22 Ridgeway Sheffield S9 3TY","3rd Floor 22 Ridgeway Sheffield S9 3TY","22","Ridgeway","3rd Floor 22 Ridgeway","Sheffield","S9","3TY","S9 3TY","",""
"15 Whitechapel Road Liverpool L1 6DZ","15 Whitechapel Road Liverpool L1 6DZ","15","Whitechapel Road","15 Whitechapel Road","Liverpool","L1","6DZ","L1 6DZ","",""
"St. John's Innovation Centre, Cowley Road, Cambridge, CB4 0WS, Tel: +44 1223 420252","Cowley Road, Cambridge, CB4 0WS","","Cowley Road","Cowley Road","Cambridge","CB4","0WS","CB4 0WS","Cambridgeshire",""
"45A High Street, Newcastle upon Tyne, NE1 1UN, Tel: +44 191 232 8900","45A High Street, Newcastle upon Tyne, NE1 1UN","45A","High Street","45A High Street","Newcastle upon Tyne","NE1","1UN","NE1 1UN","Tyne and Wear",""
"Building 3, Chiswick Park 566 Chiswick High Road London W4 5YA, Tel: +44 20 8996 9000","566 Chiswick High Road London W4 5YA","566","Chiswick High Road","566 Chiswick High Road","London","W4","5YA","W4 5YA","Greater London",""
"Unit 4, The Courtyard, 707 Warwick Road, Solihull, B91 3DA, Tel: +44 121 711 7070","707 Warwick Road, Solihull, B91 3DA","707","Warwick Road","707 Warwick Road","Solihull","B91","3DA","B91 3DA","West Midlands",""
"1 Exchange Tower, 2 Harbour Exchange Square, London, E14 9GE, Tel: +44 20 7153 1234","2 Harbour Exchange Square, London, E14 9GE","2","Harbour Exchange Square","2 Harbour Exchange Square","London","E14","9GE","E14 9GE","Greater London",""
"17-19 Bedford Row, London, WC1R 4EB, Tel: +44 20 7404 3447","17-19 Bedford Row, London, WC1R 4EB","17-19","Bedford Row","17-19 Bedford Row","London","WC1R","4EB","WC1R 4EB","Greater London",""
"Unit 12, The Business Centre, Molly Millars Lane, Wokingham, RG41 2QY, Tel: +44 118 977 7777","Molly Millars Lane, Wokingham, RG41 2QY","","Molly Millars Lane","Molly Millars Lane","Wokingham","RG41","2QY","RG41 2QY","Berkshire",""
"4500 Parkway, Whiteley, Fareham, PO15 7AZ, Tel: +44 1489 555555","4500 Parkway, Whiteley, Fareham, PO15 7AZ","4500","Parkway","4500 Parkway","Fareham","PO15","7AZ","PO15 7AZ","Hampshire",""
"20 Fenchurch Street, London, EC3M 3BY, Tel: +44 20 7320 1234","20 Fenchurch Street, London, EC3M 3BY","20","Fenchurch Street","20 Fenchurch Street","London","EC3M","3BY","EC3M 3BY","Greater London",""
"123 Kingsway, Holborn, London, WC2B 6NH, Tel: +44 20 7836 5555","123 Kingsway, Holborn, London, WC2B 6NH","123","Kingsway","123 Kingsway","London","WC2B","6NH","WC2B 6NH","Greater London",""
"Headquarters: Ground Floor, 5 King Street, Manchester, M2 4LQ","5 King Street, Manchester, M2 4LQ","5","King Street","5 King Street","Manchester","M2","4LQ","M2 4LQ","",""
"Office: Unit 3, 10 Queen's Road, Brighton, BN1 3WA","10 Queen's Road, Brighton, BN1 3WA","10","Queen's Road","10 Queen's Road","Brighton","BN1","3WA","BN1 3WA","",""
"Branch: Suite B, 25 Elm Avenue, Bristol, BS3 4RJ","25 Elm Avenue, Bristol, BS3 4RJ","25","Elm Avenue","25 Elm Avenue","Bristol","BS3","4RJ","BS3 4RJ","",""
"Warehouse: Building 8, 12 Oak Lane, Leeds, LS9 7AA","12 Oak Lane, Leeds, LS9 7AA","12","Oak Lane","12 Oak Lane","Leeds","LS9","7AA","LS9 7AA","",""
"Main Office: Level 2, 18 High Street, Belfast, BT1 2AA","18 High Street, Belfast, BT1 2AA","18","High Street","18 High Street","Belfast","BT1","2AA","BT1 2AA","",""
"Registered Office: 3rd Floor, 20 Victoria Street, Edinburgh, EH1 2HE","20 Victoria Street, Edinburgh, EH1 2HE","20","Victoria Street","20 Victoria Street","Edinburgh","EH1","2HE","EH1 2HE","",""
"Corporate Office: Suite 101, 6 Castle Lane, Swansea, SA1 2AD","6 Castle Lane, Swansea, SA1 2AD","6","Castle Lane","6 Castle Lane","Swansea","SA1","2AD","SA1 2AD","",""
"Regional Office: Room 12, 30 St. James's Square, London, SW1Y 4JR","30 St. James's Square, London, SW1Y 4JR","30","St. James's Square","30 St. James's Square","London","SW1Y","4JR","SW1Y 4JR","",""
"Sales Office: Unit D, 22 Market Street, Liverpool, L1 1DG","22 Market Street, Liverpool, L1 1DG","22","Market Street","22 Market Street","Liverpool","L1","1DG","L1 1DG","",""
"Service Centre: Block 4, 15 Mill Road, Cambridge, CB1 2AB","15 Mill Road, Cambridge, CB1 2AB","15","Mill Road","15 Mill Road","Cambridge","CB1","2AB","CB1 2AB","",""
"Contact: John Doe, 123 High Street, Anytown, London NW1 4FG Tel: 020 7946 0958 Email: johndoe@example.com","123 High Street, Anytown, London NW1 4FG","123","High Street","123 High Street","London","NW1","4FG","NW1 4FG","",""
"Main Branch: Maple House, 456 Oak Road, Smallville, Manchester M1 2AB Tel: 0161 123 4567 Email: contact@maplehouse.co.uk","456 Oak Road, Smallville, Manchester M1 2AB","456","Oak Road","456 Oak Road","Manchester","M1","2AB","M1 2AB","",""
"Office: 789 Cedar Avenue, Greenwood, Leeds LS2 8DD Tel: 0113 246 7890 Email: info@cedaravenue.com","789 Cedar Avenue, Greenwood, Leeds LS2 8DD","789","Cedar Avenue","789 Cedar Avenue","Leeds","LS2","8DD","LS2 8DD","",""
"Branch Office: Birchwood Centre, 12 Pine Lane, Riverside, Birmingham B1 1AA Tel: 0121 555 1234 Email: birchwood@centre.org","12 Pine Lane, Riverside, Birmingham B1 1AA","12","Pine Lane","12 Pine Lane","Birmingham","B1","1AA","B1 1AA","",""
"Customer Service: Elm Building, 34 Willow Street, Eastville, Liverpool L3 7HJ Tel: 0151 789 4560 Email: service@elmbuilding.net","34 Willow Street, Eastville, Liverpool L3 7HJ","34","Willow Street","34 Willow Street","Liverpool","L3","7HJ","L3 7HJ","",""
"Support Center: Ash Lodge, 101 Sycamore Road, Westend, Glasgow G2 4BB Tel: 0141 234 5678 Email: support@ashlodge.org","101 Sycamore Road, Westend, Glasgow G2 4BB","101","Sycamore Road","101 Sycamore Road","Glasgow","G2","4BB","G2 4BB","",""
"Regional Office: Poplar House, 67 Chestnut Avenue, Northtown, Edinburgh EH3 9DR Tel: 0131 654 3210 Email: regional@poplarhouse.co.uk","67 Chestnut Avenue, Northtown, Edinburgh EH3 9DR","67","Chestnut Avenue","67 Chestnut Avenue","Edinburgh","EH3","9DR","EH3 9DR","",""
"Sales Office: Willow House, 88 Maple Drive, Southend, Cardiff CF10 3BB Tel: 029 2045 6789 Email: sales@willowhouse.com","88 Maple Drive, Southend, Cardiff CF10 3BB","88","Maple Drive","88 Maple Drive","Cardiff","CF10","3BB","CF10 3BB","",""
"Headquarters: Beech Tower, 22 Holly Street, Midtown, Belfast BT1 5EY Tel: 028 9056 7890 Email: hq@beechtower.org","22 Holly Street, Midtown, Belfast BT1 5EY","22","Holly Street","22 Holly Street","Belfast","BT1","5EY","BT1 5EY","",""
"Operations: Fir Plaza, 9 Elm Road, Uptown, Newcastle NE1 7HG Tel: 0191 234 5670 Email: operations@firplaza.net","9 Elm Road, Uptown, Newcastle NE1 7HG","9","Elm Road","9 Elm Road","Newcastle","NE1","7HG","NE1 7HG","",""
"Central House, 27 Park Street, London W1K 6PA","27 Park Street, London W1K 6PA","27","Park Street","27 Park Street","London","W1K","6PA","W1K 6PA","",""
"Smithfield Market, East Poultry Avenue, London EC1A 9LH","East Poultry Avenue, London EC1A 9LH","","East Poultry Avenue","East Poultry Avenue","London","EC1A","9LH","EC1A 9LH","",""
"The Shard, 32 London Bridge Street, London SE1 9SG","32 London Bridge Street, London SE1 9SG","32","London Bridge Street","32 London Bridge Street","London","SE1","9SG","SE1 9SG","",""
"Victoria House, 1-3 College Hill, London EC4R 2RA","1-3 College Hill, London EC4R 2RA","1-3","College Hill","1-3 College Hill","London","EC4R","2RA","EC4R 2RA","",""
"MediaCityUK, Broadway, Salford M50 2EQ","Broadway, Salford M50 2EQ","","Broadway","Broadway","Salford","M50","2EQ","M50 2EQ","",""
"Westfield Stratford City, Montfichet Road, London E20 1EJ","Montfichet Road, London E20 1EJ","","Montfichet Road","Montfichet Road","London","E20","1EJ","E20 1EJ","",""
"One Canada Square, Canary Wharf, London E14 5AB","Canary Wharf, London E14 5AB","","Canary Wharf","Canary Wharf","London","E14","5AB","E14 5AB","",""
"Queen Elizabeth Olympic Park, London E20 2ST","Queen Elizabeth Olympic Park, London E20 2ST","","Queen Elizabeth Olympic Park","Queen Elizabeth Olympic Park","London","E20","2ST","E20 2ST","",""
"8 Northumberland Avenue, London WC2N 5BY","Northumberland Avenue, London WC2N 5BY","8","Northumberland Avenue","8 Northumberland Avenue","London","WC2N","5BY","WC2N 5BY","",""
"Chiswick Business Park, 566 Chiswick High Road, London W4 5YA","566 Chiswick High Road, London W4 5YA","566","Chiswick High Road","566 Chiswick High Road","London","W4","5YA","W4 5YA","",""
"25 High Street, Kensington, London, W8 5NP","","25","High Street","25 High Street","London","W8","5NP","W8 5NP","Kensington",""
"42 Kings Road, Chelsea, London, SW3 4UD","","42","Kings Road","42 Kings Road","London","SW3","4UD","SW3 4UD","Chelsea",""
"10 Downing Street, Westminster, London, SW1A 2AA","","10","Downing Street","10 Downing Street","London","SW1A","2AA","SW1A 2AA","Westminster",""
"200 Oxford Street, Soho, London, W1D 1NU","","200","Oxford Street","200 Oxford Street","London","W1D","1NU","W1D 1NU","Soho",""
"15 Bramble Way, Lenton, Nottingham, NG7 2EG","","15","Bramble Way","15 Bramble Way","Nottingham","NG7","2EG","NG7 2EG","Lenton",""
"8 Church Lane, Headingley, Leeds, LS6 2AD","","8","Church Lane","8 Church Lane","Leeds","LS6","2AD","LS6 2AD","Headingley",""
"34 Market Street, Farnworth, Bolton, BL4 9AJ","","34","Market Street","34 Market Street","Bolton","BL4","9AJ","BL4 9AJ","Farnworth",""
"57 Elm Road, Cotham, Bristol, BS6 5AA","","57","Elm Road","57 Elm Road","Bristol","BS6","5AA","BS6 5AA","Cotham",""
"22 Park Avenue, Moseley, Birmingham, B13 8AH","","22","Park Avenue","22 Park Avenue","Birmingham","B13","8AH","B13 8AH","Moseley",""
"99 Victoria Road, Broomhill, Sheffield, S10 2DJ","","99","Victoria Road","99 Victoria Road","Sheffield","S10","2DJ","S10 2DJ","Broomhill",""
"RICHMOND PARK Open today - 08:30 until 19:00 020 8948 3209 TW10 5HS","TW10 5HS","","","","","TW10","5HS","TW10 5HS","",""
"OXFORD STREET Open today - 10:00 until 20:00 020 7495 9250 W1D 1BS","W1D 1BS","","","","","W1D","1BS","W1D 1BS","",""
"CAMBRIDGE CITY Open today - 09:00 until 17:30 01223 457000 CB2 3AD","CB2 3AD","","","","","CB2","3AD","CB2 3AD","",""
"EDINBURGH CASTLE Open today - 09:30 until 18:00 0131 225 9846 EH1 2NG","EH1 2NG","","","","","EH1","2NG","EH1 2NG","",""
"BRIGHTON PIER Open today - 10:00 until 22:00 01273 609361 BN2 1TW","BN2 1TW","","","","","BN2","1TW","BN2 1TW","",""
"BATH ABBEY Open today - 09:00 until 18:00 01225 422462 BA1 1LT","BA1 1LT","","","","","BA1","1LT","BA1 1LT","",""
"LIVERPOOL DOCKS Open today - 10:00 until 18:00 0151 478 4499 L3 4AF","L3 4AF","","","","","L3","4AF","L3 4AF","",""
"WINDSOR CASTLE Open today - 09:30 until 17:15 01753 831118 SL4 1NJ","SL4 1NJ","","","","","SL4","1NJ","SL4 1NJ","",""
"YORK MINSTER Open today - 09:00 until 17:30 01904 557200 YO1 7HH","YO1 7HH","","","","","YO1","7HH","YO1 7HH","",""
"BRISTOL ZOO Open today - 09:00 until 17:30 0117 974 7300 BS8 3HA","BS8 3HA","","","","","BS8","3HA","BS8 3HA","",""
"1st Choice Properties 15 High Street Birmingham B4 7SL","15 High Street Birmingham B4 7SL","15","High Street","High Street","Birmingham","B4","7SL","B4 7SL","",""
"Greenwood Pharmacy 22 King Road Portsmouth PO1 3AX","22 King Road Portsmouth PO1 3AX","22","King Road","King Road","Portsmouth","PO1","3AX","PO1 3AX","",""
"Sunset Hotel 8 Queen Avenue Liverpool L1 1RH","8 Queen Avenue Liverpool L1 1RH","8","Queen Avenue","Queen Avenue","Liverpool","L1","1RH","L1 1RH","",""
"Tech Solutions Ltd 5 Market Street Manchester M4 2AF","5 Market Street Manchester M4 2AF","5","Market Street","Market Street","Manchester","M4","2AF","M4 2AF","",""
"Blooming Flowers 47 Park Lane London W1K 1QA","47 Park Lane London W1K 1QA","47","Park Lane","Park Lane","London","W1K","1QA","W1K 1QA","",""
"Eastwood Community Centre 33 Church Road Bristol BS5 9HT","33 Church Road Bristol BS5 9HT","33","Church Road","Church Road","Bristol","BS5","9HT","BS5 9HT","",""
"Central Library 12 Castle Street Edinburgh EH2 3AT","12 Castle Street Edinburgh EH2 3AT","12","Castle Street","Castle Street","Edinburgh","EH2","3AT","EH2 3AT","",""
"Northfield Health Clinic 9 Elm Grove Leeds LS2 8JD","9 Elm Grove Leeds LS2 8JD","9","Elm Grove","Elm Grove","Leeds","LS2","8JD","LS2 8JD","",""
"Westminster College 18 Victoria Square Glasgow G2 1RL","18 Victoria Square Glasgow G2 1RL","18","Victoria Square","Victoria Square","Glasgow","G2","1RL","G2 1RL","",""
"Southend Bookstore 25 Highfield Road Southend-on-Sea SS1 2HR","25 Highfield Road Southend-on-Sea SS1 2HR","25","Highfield Road","Highfield Road","Southend-on-Sea","SS1","2HR","SS1 2HR","",""
"Acme Corp, 123 High Street, Guildford, Surrey, GU1 3AJ, UK","123 High Street, Guildford, Surrey, GU1 3AJ","123","High Street","123 High Street","Guildford","GU1","3AJ","GU1 3AJ","Surrey","UK"
"Greenwood Books, 45 Elm Road, Bristol, BS8 3AT, UK","45 Elm Road, Bristol, BS8 3AT","45","Elm Road","45 Elm Road","Bristol","BS8","3AT","BS8 3AT","Bristol","UK"
"Tech Solutions Ltd, 78 Queen Street, Edinburgh, EH2 3NH, UK","78 Queen Street, Edinburgh, EH2 3NH","78","Queen Street","78 Queen Street","Edinburgh","EH2","3NH","EH2 3NH","Edinburgh","UK"
"Baker's Delight, 10 Baker Street, London, W1U 3AX, UK","10 Baker Street, London, W1U 3AX","10","Baker Street","10 Baker Street","London","W1U","3AX","W1U 3AX","London","UK"
"Sunrise Dental, 5 King Street, Manchester, M2 6AW, UK","5 King Street, Manchester, M2 6AW","5","King Street","5 King Street","Manchester","M2","6AW","M2 6AW","Manchester","UK"
"Smith & Sons, 22 Market Place, Norwich, Norfolk, NR2 1ND, UK","22 Market Place, Norwich, Norfolk, NR2 1ND","22","Market Place","22 Market Place","Norwich","NR2","1ND","NR2 1ND","Norfolk","UK"
"Sunset Inn, 99 Ocean Drive, Brighton, BN2 1TW, UK","99 Ocean Drive, Brighton, BN2 1TW","99","Ocean Drive","99 Ocean Drive","Brighton","BN2","1TW","BN2 1TW","Brighton","UK"
"Harbor Cafe, 88 Dockside Road, Liverpool, L1 8JU, UK","88 Dockside Road, Liverpool, L1 8JU","88","Dockside Road","88 Dockside Road","Liverpool","L1","8JU","L1 8JU","Liverpool","UK"
"Digital Hub, 35 Mill Lane, Cardiff, CF10 1FL, UK","35 Mill Lane, Cardiff, CF10 1FL","35","Mill Lane","35 Mill Lane","Cardiff","CF10","1FL","CF10 1FL","Cardiff","UK"
"Health Plus, 50 Riverside Road, Exeter, Devon, EX2 4TA, UK","50 Riverside Road, Exeter, Devon, EX2 4TA","50","Riverside Road","50 Riverside Road","Exeter","EX2","4TA","EX2 4TA","Devon","UK"
"Flat 5, 12 High Street, Oxford, OX1 4BG","","","","","Oxford","OX1","4BG","OX1 4BG","Oxfordshire",""
"Suite 3, 45 Market Road, Cambridge, CB1 1DF","","","","","Cambridge","CB1","1DF","CB1 1DF","Cambridgeshire",""
"123 Baker Street, London, NW1 6XE","","","","","London","NW1","6XE","NW1 6XE","Greater London",""
"Unit 7, 89 Kingsway, Cardiff, CF10 3FD","","","","","Cardiff","CF10","3FD","CF10 3FD","South Glamorgan",""
"PO Box 678, Manchester, M60 2LA","","","","","Manchester","M60","2LA","M60 2LA","Greater Manchester",""
"10 Downing Street, London, SW1A 2AA","","","","","London","SW1A","2AA","SW1A 2AA","Greater London",""
"Apartment 2B, 34 Church Lane, Birmingham, B3 2DP","","","","","Birmingham","B3","2DP","B3 2DP","West Midlands",""
"The White House, Main Street, York, YO1 7DD","","","","","York","YO1","7DD","YO1 7DD","North Yorkshire",""
"Willow Cottage, 7 Meadow Road, Bath, BA1 2DF","","","","","Bath","BA1","2DF","BA1 2DF","Somerset",""
"Rose Villa, 15 Green Street, Edinburgh, EH1 3AA","","","","","Edinburgh","EH1","3AA","EH1 3AA","Midlothian",""
"2 Green Park, Baker St, London, Greater London, W1U 6RF, UK","Baker St, London, Greater London, W1U 6RF","","Baker St","Baker St","London","W1U","6RF","W1U 6RF","Greater London","UK"
"3 Elm Court, Victoria Rd, Bristol, Bristol, BS3 4AJ, UK","Victoria Rd, Bristol, Bristol, BS3 4AJ","","Victoria Rd","Victoria Rd","Bristol","BS3","4AJ","BS3 4AJ","Bristol","UK"
"4 Oak House, High St, Oxford, Oxfordshire, OX1 4BE, UK","High St, Oxford, Oxfordshire, OX1 4BE","","High St","High St","Oxford","OX1","4BE","OX1 4BE","Oxfordshire","UK"
"5 Maple Lodge, Kingsway, Manchester, Greater Manchester, M19 2LD, UK","Kingsway, Manchester, Greater Manchester, M19 2LD","","Kingsway","Kingsway","Manchester","M19","2LD","M19 2LD","Greater Manchester","UK"
"6 Cedar House, Queens Rd, Brighton, East Sussex, BN1 3XF, UK","Queens Rd, Brighton, East Sussex, BN1 3XF","","Queens Rd","Queens Rd","Brighton","BN1","3XF","BN1 3XF","East Sussex","UK"
"7 Birch Villa, Church St, Liverpool, Merseyside, L1 3AY, UK","Church St, Liverpool, Merseyside, L1 3AY","","Church St","Church St","Liverpool","L1","3AY","L1 3AY","Merseyside","UK"
"8 Pine House, Market St, York, North Yorkshire, YO1 8QT, UK","Market St, York, North Yorkshire, YO1 8QT","","Market St","Market St","York","YO1","8QT","YO1 8QT","North Yorkshire","UK"
"9 Willow Cottage, Station Rd, Cambridge, Cambridgeshire, CB1 2JB, UK","Station Rd, Cambridge, Cambridgeshire, CB1 2JB","","Station Rd","Station Rd","Cambridge","CB1","2JB","CB1 2JB","Cambridgeshire","UK"
"10 Ash House, New St, Edinburgh, Edinburgh, EH2 4TP, UK","New St, Edinburgh, Edinburgh, EH2 4TP","","New St","New St","Edinburgh","EH2","4TP","EH2 4TP","Edinburgh","UK"
"11 Beech Cottage, King St, Glasgow, Glasgow, G1 5HY, UK","King St, Glasgow, Glasgow, G1 5HY","","King St","King St","Glasgow","G1","5HY","G1 5HY","Glasgow","UK"
"Manchester Town Hall Albert Square Manchester M60 2LA","Albert Square Manchester M60 2LA","Albert Square","","Albert Square","Manchester","M60","2LA","M60 2LA","",""
"Bristol Museum and Art Gallery Queens Rd Bristol BS8 1RL","Queens Rd Bristol BS8 1RL","Queens Rd","","Queens Rd","Bristol","BS8","1RL","BS8 1RL","",""
"Oxford University Parks Rd Oxford OX1 3PU","Parks Rd Oxford OX1 3PU","Parks Rd","","Parks Rd","Oxford","OX1","3PU","OX1 3PU","",""
"Edinburgh Castle Castlehill Edinburgh EH1 2NG","Castlehill Edinburgh EH1 2NG","Castlehill","","Castlehill","Edinburgh","EH1","2NG","EH1 2NG","",""
"Birmingham Library Centenary Square Birmingham B1 2ND","Centenary Square Birmingham B1 2ND","Centenary Square","","Centenary Square","Birmingham","B1","2ND","B1 2ND","",""
"Leeds General Infirmary Great George St Leeds LS1 3EX","Great George St Leeds LS1 3EX","Great George St","","Great George St","Leeds","LS1","3EX","LS1 3EX","",""
"Glasgow Science Centre 50 Pacific Quay Glasgow G51 1EA","50 Pacific Quay Glasgow G51 1EA","50","Pacific Quay","50 Pacific Quay","Glasgow","G51","1EA","G51 1EA","",""
"Cambridge Market Square Cambridge CB2 3QJ","Market Square Cambridge CB2 3QJ","Market Square","","Market Square","Cambridge","CB2","3QJ","CB2 3QJ","",""
"Liverpool Cathedral St James Mt Liverpool L1 7AZ","St James Mt Liverpool L1 7AZ","St James Mt","","St James Mt","Liverpool","L1","7AZ","L1 7AZ","",""
"York Minster Deangate York YO1 7HH","Deangate York YO1 7HH","Deangate","","Deangate","York","YO1","7HH","YO1 7HH","",""
"Johnson & Brothers Ltd 12 High Street, Manchester, M1 1AB 0161 234 5678 contact@johnsonbros.co.uk","12 High Street, Manchester, M1 1AB","12","High Street","12 High Street","Manchester","M1","1AB","M1 1AB","",""
"Greenfield Solutions 78 Elm Road, Birmingham, B2 3EF 0121 456 7890 support@greenfieldsolutions.com","78 Elm Road, Birmingham, B2 3EF","78","Elm Road","78 Elm Road","Birmingham","B2","3EF","B2 3EF","",""
"Thompson & Sons Plumbing 5 Oak Avenue, Bristol, BS1 5GH 0117 987 6543 info@thompsonplumbing.co.uk","5 Oak Avenue, Bristol, BS1 5GH","5","Oak Avenue","5 Oak Avenue","Bristol","BS1","5GH","BS1 5GH","",""
"Morrison Electricals 22 King Street, Leeds, LS2 8HJ 0113 234 5678 service@morrisonelectricals.com","22 King Street, Leeds, LS2 8HJ","22","King Street","22 King Street","Leeds","LS2","8HJ","LS2 8HJ","",""
"Evergreen Landscapes 66 Queen's Road, Liverpool, L1 1AA 0151 789 1234 sales@evergreenlandscapes.co.uk","66 Queen's Road, Liverpool, L1 1AA","66","Queen's Road","66 Queen's Road","Liverpool","L1","1AA","L1 1AA","",""
"Davidson Architects 33 Victoria Street, Edinburgh, EH1 2BW 0131 456 7890 inquiries@davidsonarchitects.co.uk","33 Victoria Street, Edinburgh, EH1 2BW","33","Victoria Street","33 Victoria Street","Edinburgh","EH1","2BW","EH1 2BW","",""
"Hawthorne Security 17 Park Lane, Glasgow, G1 3EF 0141 234 5678 info@hawthornesecurity.com","17 Park Lane, Glasgow, G1 3EF","17","Park Lane","17 Park Lane","Glasgow","G1","3EF","G1 3EF","",""
"Redwood IT Services 9 Maple Drive, Cardiff, CF10 3AB 029 2066 1234 support@redwooditservices.co.uk","9 Maple Drive, Cardiff, CF10 3AB","9","Maple Drive","9 Maple Drive","Cardiff","CF10","3AB","CF10 3AB","",""
"Wilson & Co Accountants 50 Church Street, Sheffield, S1 2LG 0114 234 5678 info@wilsonaccountants.co.uk","50 Church Street, Sheffield, S1 2LG","50","Church Street","50 Church Street","Sheffield","S1","2LG","S1 2LG","",""
"Harper Legal Services 27 Market Place, Newcastle, NE1 4EE 0191 234 5678 inquiries@harperlegalservices.co.uk","27 Market Place, Newcastle, NE1 4EE","27","Market Place","27 Market Place","Newcastle","NE1","4EE","NE1 4EE","",""
"15 King Edward Street, London, EC1A 1HQ, United Kingdom","","15","King Edward Street","King Edward Street","London","EC1A","1HQ","EC1A 1HQ","","United Kingdom"
"7 Queen's Road, Bristol, BS8 1QU, United Kingdom","","7","Queen's Road","Queen's Road","Bristol","BS8","1QU","BS8 1QU","","United Kingdom"
"22 High Street, Edinburgh, EH1 1TG, United Kingdom","","22","High Street","High Street","Edinburgh","EH1","1TG","EH1 1TG","","United Kingdom"
"10 Downing Street, London, SW1A 2AA, United Kingdom","","10","Downing Street","Downing Street","London","SW1A","2AA","SW1A 2AA","","United Kingdom"
"5 Market Lane, Manchester, M1 1PW, United Kingdom","","5","Market Lane","Market Lane","Manchester","M1","1PW","M1 1PW","","United Kingdom"
"8 Prince Consort Road, Belfast, BT12 5EE, United Kingdom","","8","Prince Consort Road","Prince Consort Road","Belfast","BT12","5EE","BT12 5EE","","United Kingdom"
"14 Victoria Square, Birmingham, B1 1BB, United Kingdom","","14","Victoria Square","Victoria Square","Birmingham","B1","1BB","B1 1BB","","United Kingdom"
"3 Castle Street, Cardiff, CF10 1SZ, United Kingdom","","3","Castle Street","Castle Street","Cardiff","CF10","1SZ","CF10 1SZ","","United Kingdom"
"11 Chapel Street, Liverpool, L3 9AG, United Kingdom","","11","Chapel Street","Chapel Street","Liverpool","L3","9AG","L3 9AG","","United Kingdom"
"6 George Street, Glasgow, G1 1RS, United Kingdom","","6","George Street","George Street","Glasgow","G1","1RS","G1 1RS","","United Kingdom"

